time_taken_per_word,attempts_per_word,combo_achieved,damage_per_turn,keystrokes_per_word
29.66,3,1,18,33
12.22,5,1,18,30
9.1,3,1,18,18
66.92,5,1,18,30
28.65,4,1,18,24
29.67,4,1,18,24
22.27,4,1,18,24
19.99,4,1,18,24
19.74,4,1,18,24
22.55,4,1,18,24
22.74,5,1,18,30
24.52,5,1,18,30
15.27,4,1,18,26
22.5,4,1,18,24
14.29,4,1,18,24
13.53,4,1,18,24
14.6,6,1,18,43
16.55,4,1,18,24
12.97,4,1,18,24
13.57,4,1,18,26
12.98,4,1,18,24
13.14,4,1,18,24
19.01,4,1,18,24
20.19,4,2,21,26
13.35,4,3,24,24
12.12,4,4,27,26
12.41,4,5,30,24
14.05,3,1,18,20
22.59,4,1,18,24
21.27,4,2,21,27
97.69,3,1,18,24
17.18,4,2,21,34
43.39,4,3,24,24
36.33,5,1,18,30
14.2,4,2,21,24
20.6,5,3,24,30
27.84,5,1,18,34
12.76,4,2,21,24
16.78,4,3,24,24
39.91,6,1,18,42
18.55,4,2,21,24
17.26,4,3,24,24
15.01,2,1,18,20
31.29,4,1,18,24
13.17,4,2,21,24
11.33,4,3,24,30
11.62,4,4,27,24
11.08,4,5,30,24
11.06,4,6,33,24
10.98,4,7,36,26
12.06,4,8,39,24
11.09,4,9,42,24
17.45,5,10,45,30
11.2,4,11,48,24
15.27,4,12,51,28
10.64,4,13,54,24
12.5,4,14,57,26
10.31,4,15,60,24
13.81,2,1,18,12
24.51,4,1,18,26
21.12,4,2,21,24
32.85,5,1,18,31
28.44,4,2,21,25
41.02,6,1,18,38
20.95,4,1,18,24
18.22,3,2,21,19
15.67,3,3,24,18
55.40,6,1,18,42
29.11,4,2,21,24
33.76,5,3,24,30
26.50,4,4,27,26
22.31,4,5,30,24
19.85,4,6,33,24
48.90,5,1,18,32
23.45,4,2,21,25
21.05,4,3,24,24
38.60,5,1,18,33
25.14,4,2,21,24
72.15,6,1,18,44
27.88,4,1,18,26
22.10,4,2,21,24
17.50,3,3,24,20
14.20,3,4,27,18
13.95,3,5,30,18
61.22,6,1,18,39
31.40,5,2,21,31
29.80,5,3,24,30
24.15,4,4,27,25
21.55,4,5,30,24
45.67,5,1,18,34
26.78,4,2,21,24
20.30,4,3,24,26
19.12,3,4,27,19
82.40,6,1,18,45
37.90,5,2,21,32
28.55,4,3,24,24
25.10,4,4,27,24
22.80,4,5,30,25
21.00,4,6,33,24
18.45,3,7,36,18
16.90,3,8,39,20
58.75,6,1,18,40
34.20,5,2,21,30
29.60,4,3,24,26
27.15,4,4,27,24
25.40,4,5,30,24
23.90,4,6,33,25
21.25,4,7,36,24
44.10,5,1,18,31
30.50,4,2,21,24
24.80,4,3,24,24
19.99,4,4,27,26
